OrderID,DealershipID,DealershipName,Location,CarID,DeliveryDate
1,1,Berlin AutoHaus,Berlin,101,2025-03-15
2,2,Stuttgart Motors,Stuttgart,103,2025-03-20
3,3,Munich AutoWorld,Munich,104,2025-03-22
4,4,Frankfurt Car Zentrum,Frankfurt,105,2025-03-25
5,5,Hamburg Drive,Hamburg,106,2025-03-30
6,6,Wolfsburg AutoEx,Wolfsburg,102,2025-04-02
7,1,Berlin AutoHaus,Berlin,107,2025-04-10
8,2,Stuttgart Motors,Stuttgart,108,2025-04-12
9,3,Munich AutoWorld,Munich,109,2025-04-14
10,4,Frankfurt Car Zentrum,Frankfurt,110,2025-04-18
11,5,Hamburg Drive,Hamburg,111,2025-04-20
12,6,Wolfsburg AutoEx,Wolfsburg,112,2025-04-22
13,1,Berlin AutoHaus,Berlin,113,2025-04-25
14,2,Stuttgart Motors,Stuttgart,114,2025-04-28
15,3,Munich AutoWorld,Munich,115,2025-05-01
16,4,Frankfurt Car Zentrum,Frankfurt,116,2025-05-05
17,5,Hamburg Drive,Hamburg,103,2025-05-08
18,6,Wolfsburg AutoEx,Wolfsburg,107,2025-05-10
